oxbow,year,season,habitat,points,catch
1,1995,autumn,open,53,24
1,1995,autumn,veg,58,89
1,1995,spring,open,49,2
1,1995,spring,veg,65,64
1,1996,autumn,open,60,29
1,1996,autumn,veg,63,86
1,1996,spring,open,50,12
1,1996,spring,veg,63,56
1,1997,autumn,open,61,11
1,1997,autumn,veg,59,60
1,1997,spring,open,50,26
1,1997,spring,veg,52,66
1,1998,autumn,open,53,16
1,1998,autumn,veg,64,47
1,1998,spring,open,54,1
1,1998,spring,veg,54,21
2,1995,autumn,open,55,28
2,1995,autumn,veg,49,72
2,1995,spring,open,45,10
2,1995,spring,veg,51,46
2,1996,autumn,open,46,19
2,1996,autumn,veg,50,89
2,1996,spring,open,41,8
2,1996,spring,veg,44,42
2,1997,autumn,open,50,9
2,1997,autumn,veg,45,40
2,1997,spring,open,45,7
2,1997,spring,veg,40,30
2,1998,autumn,open,53,9
2,1998,autumn,veg,47,32
2,1998,spring,open,45,6
2,1998,spring,veg,54,24
3,1995,autumn,open,71,16
3,1995,autumn,veg,58,81
3,1995,spring,open,65,16
3,1995,spring,veg,71,58
3,1996,autumn,open,71,32
3,1996,autumn,veg,74,126
3,1996,spring,open,71,16
3,1996,spring,veg,60,45
3,1997,autumn,open,66,21
3,1997,autumn,veg,65,71
3,1997,spring,open,67,10
3,1997,spring,veg,61,48
3,1998,autumn,open,59,18
3,1998,autumn,veg,64,46
3,1998,spring,open,59,7
3,1998,spring,veg,69,21
4,1995,autumn,open,51,12
4,1995,autumn,veg,51,59
4,1995,spring,open,46,12
4,1995,spring,veg,46,22
4,1996,autumn,open,50,16
4,1996,autumn,veg,52,82
4,1996,spring,open,44,12
4,1996,spring,veg,61,25
4,1997,autumn,open,59,12
4,1997,autumn,veg,54,56
4,1997,spring,open,47,10
4,1997,spring,veg,63,41
4,1998,autumn,open,41,6
4,1998,autumn,veg,63,58
4,1998,spring,open,55,7
4,1998,spring,veg,56,18
5,1995,autumn,open,31,10
5,1995,autumn,veg,33,61
5,1995,spring,open,32,6
5,1995,spring,veg,27,28
5,1996,autumn,open,31,6
5,1996,autumn,veg,30,35
5,1996,spring,open,31,4
5,1996,spring,veg,27,11
5,1997,autumn,open,26,0
5,1997,autumn,veg,34,36
5,1997,spring,open,28,6
5,1997,spring,veg,35,19
5,1998,autumn,open,27,1
5,1998,autumn,veg,31,24
5,1998,spring,open,24,1
5,1998,spring,veg,30,4
6,1995,autumn,open,74,34
6,1995,autumn,veg,60,226
6,1995,spring,open,70,25
6,1995,spring,veg,73,82
6,1996,autumn,open,59,26
6,1996,autumn,veg,70,122
6,1996,spring,open,50,33
6,1996,spring,veg,60,72
6,1997,autumn,open,50,19
6,1997,autumn,veg,51,60
6,1997,spring,open,65,34
6,1997,spring,veg,64,68
6,1998,autumn,open,59,22
6,1998,autumn,veg,68,65
6,1998,spring,open,57,18
6,1998,spring,veg,54,35
7,1995,autumn,open,67,20
7,1995,autumn,veg,68,87
7,1995,spring,open,92,24
7,1995,spring,veg,79,80
7,1996,autumn,open,83,38
7,1996,autumn,veg,84,128
7,1996,spring,open,71,24
7,1996,spring,veg,71,64
7,1997,autumn,open,81,30
7,1997,autumn,veg,82,113
7,1997,spring,open,85,30
7,1997,spring,veg,83,98
7,1998,autumn,open,94,23
7,1998,autumn,veg,77,91
7,1998,spring,open,76,13
7,1998,spring,veg,81,39
8,1995,autumn,open,30,14
8,1995,autumn,veg,54,78
8,1995,spring,open,29,10
8,1995,spring,veg,54,40
8,1996,autumn,open,25,12
8,1996,autumn,veg,46,72
8,1996,spring,open,30,12
8,1996,spring,veg,53,28
8,1997,autumn,open,26,9
8,1997,autumn,veg,46,43
8,1997,spring,open,35,11
8,1997,spring,veg,48,26
8,1998,autumn,open,29,9
8,1998,autumn,veg,48,34
8,1998,spring,open,31,5
8,1998,spring,veg,55,25